INCOME,AGE,GENDER,HOURS_working,JOB_TYPE,EXPERIECE_in_YEARS
 >50K,30,3,52, Sales,8
 >50K,58,2,40, Tech-support,7
 >50K,29,3,40, Tech-support,12
 <=50K,58,3,45, Sales,7
 >50K,42,3,40, Tech-support,8
 <=50K,41,3,40, Tech-support,7
 >50K,50,2,60, Tech-support,12
 <=50K,24,3,50, Sales,3
 <=50K,43,1,40, Tech-support,7
 <=50K,26,1,30, Sales,6
 >50K,54,2,54, Sales,22
 <=50K,38,2,40, Sales,8
 <=50K,30,3,60, Sales,6
 >50K,51,3,40, Tech-support,10
 >50K,43,2,43, Sales,15
 <=50K,35,2,40, Sales,3
 <=50K,24,3,16, Tech-support,6
 >50K,51,3,40, Sales,23
 <=50K,22,1,40, Sales,8
 <=50K,24,1,35, Sales,5
 <=50K,29,1,26, Sales,8
 >50K,54,1,45, Sales,11
 <=50K,20,3,20, Sales,8
 >50K,40,3,60, Sales,7
 <=50K,44,2,30, Sales,4
 >50K,45,1,65, Sales,15
 <=50K,20,1,40, Sales,8
 <=50K,34,2,38, Sales,5
 <=50K,42,2,60, Sales,6
 >50K,38,1,42, Sales,14
 <=50K,50,1,40, Sales,6
 >50K,55,1,50, Sales,19
 <=50K,25,3,40, Sales,8
 <=50K,23,2,30, Sales,3
 <=50K,19,3,35, Sales,4
 <=50K,42,3,60, Sales,6
 <=50K,22,1,40, Tech-support,4
 <=50K,24,3,49, Sales,3
 >50K,48,3,50, Sales,14
 <=50K,42,3,40, Tech-support,6
 >50K,32,1,60, Sales,25
 >50K,35,3,52, Sales,20
 >50K,39,1,50, Sales,15
 <=50K,25,2,40, Sales,8
 >50K,30,1,55, Sales,17
 <=50K,25,1,25, Sales,3
 >50K,47,3,40, Sales,16
 <=50K,33,2,35, Sales,3
 <=50K,46,3,55, Sales,4
 <=50K,22,1,30, Sales,3
 <=50K,20,3,30, Sales,5
 <=50K,25,2,40, Tech-support,3
 <=50K,31,3,50, Sales,5
 <=50K,26,3,18, Sales,5
 >50K,49,3,45, Sales,18
 >50K,38,2,50, Sales,24
 <=50K,39,2,40, Tech-support,7
 >50K,38,3,40, Sales,14
 >50K,27,1,40, Sales,7
 >50K,27,2,40, Tech-support,20
 <=50K,22,1,40, Sales,7
 <=50K,19,2,40, Sales,4
 <=50K,26,2,40, Tech-support,5
 <=50K,32,1,30, Sales,8
 <=50K,21,2,25, Sales,6
 <=50K,27,2,40, Tech-support,5
 <=50K,23,1,15, Sales,5
 <=50K,39,3,65, Sales,5
 <=50K,21,1,20, Sales,7
 >50K,34,2,84, Tech-support,11
 <=50K,53,2,40, Sales,8
 <=50K,21,3,45, Sales,3
 <=50K,20,1,25, Sales,3
 >50K,46,2,40, Tech-support,10
 >50K,36,2,42, Sales,15
 <=50K,22,1,25, Sales,5
 >50K,41,1,45, Sales,25
 <=50K,30,2,40, Tech-support,4
 <=50K,36,3,40, Sales,3
 >50K,31,3,40, Sales,24
 <=50K,33,3,15, Tech-support,3
 <=50K,36,2,40, Sales,8
 >50K,36,2,40, Sales,8
 <=50K,20,2,20, Sales,7
 >50K,40,3,40, Sales,10
 >50K,57,3,40, Sales,21
 >50K,35,1,55, Sales,25
 >50K,34,2,60, Sales,15
 <=50K,21,1,30, Sales,5
 <=50K,53,3,40, Sales,6
 <=50K,24,3,43, Sales,5
 <=50K,25,2,45, Sales,6
 >50K,90,2,15, Sales,17
 <=50K,23,3,40, Tech-support,6
 <=50K,20,1,35, Sales,7
 >50K,43,3,44, Sales,25
 <=50K,32,1,40, Sales,5
 >50K,56,3,45, Sales,10
 >50K,50,3,40, Tech-support,24
 <=50K,25,1,40, Sales,7
 <=50K,40,1,40, Sales,4
 <=50K,28,1,40, Sales,5
 <=50K,19,3,35, Sales,3
 <=50K,35,2,40, Sales,4
 <=50K,58,2,36, Sales,5
 <=50K,72,2,6, Sales,7
 <=50K,18,3,15, Sales,5
 >50K,46,3,48, Sales,23
 >50K,47,1,40, Sales,24
 >50K,37,3,50, Tech-support,9
 >50K,46,3,40, Sales,12
 <=50K,24,3,50, Tech-support,6
 <=50K,22,1,18, Sales,8
 <=50K,34,3,45, Sales,5
 <=50K,29,3,40, Sales,3
 <=50K,36,3,40, Tech-support,4
 <=50K,51,3,40, Sales,7
 >50K,43,3,45, Sales,23
 >50K,35,1,50, Sales,11
 <=50K,46,1,40, Sales,6
 <=50K,21,2,15, Sales,6
 <=50K,19,1,40, Tech-support,3
 <=50K,39,3,40, Tech-support,4
 <=50K,28,1,65, Sales,8
 <=50K,46,3,50, Sales,3
 <=50K,21,3,16, Tech-support,8
 <=50K,55,3,40, Sales,6
 <=50K,25,1,40, Sales,4
 <=50K,37,2,40, Sales,8
 <=50K,61,2,40, Sales,6
 >50K,46,2,42, Sales,19
 >50K,40,3,70, Sales,12
 <=50K,20,2,20, Sales,7
 <=50K,44,3,48, Sales,3
 <=50K,26,1,40, Sales,7
 <=50K,35,2,28, Tech-support,8
 <=50K,41,1,40, Sales,8
 >50K,55,1,50, Sales,18
 <=50K,42,3,45, Sales,7
 <=50K,18,2,25, Sales,6
 <=50K,19,1,20, Sales,7
 <=50K,32,3,35, Sales,6
 <=50K,29,3,40, Tech-support,4
 <=50K,20,2,25, Sales,4
 >50K,51,2,40, Sales,9
 >50K,26,2,42, Sales,13
 <=50K,19,1,25, Sales,4
 <=50K,27,3,40, Tech-support,3
 <=50K,49,3,44, Sales,4
 <=50K,24,3,15, Sales,8
 <=50K,31,3,60, Tech-support,4
 <=50K,39,2,40, Sales,3
 <=50K,22,3,32, Sales,5
 >50K,61,1,40, Sales,24
 <=50K,35,2,50, Sales,7
 >50K,46,1,70, Sales,22
 <=50K,23,2,40, Sales,6
 >50K,32,2,45, Sales,13
 >50K,44,2,40, Sales,24
 >50K,37,3,44, Sales,23
 <=50K,23,2,25, Sales,3
 <=50K,43,3,50, Tech-support,4
 <=50K,22,3,55, Sales,5
 <=50K,32,2,45, Sales,7
 <=50K,29,2,60, Sales,6
 >50K,33,2,45, Tech-support,19
 >50K,63,3,40, Sales,15
 <=50K,39,2,40, Sales,3
 <=50K,43,2,50, Sales,8
 >50K,38,2,60, Sales,25
 <=50K,39,3,40, Sales,3
 <=50K,24,3,40, Sales,6
 <=50K,32,3,45, Sales,3
 <=50K,31,3,60, Sales,8
 <=50K,50,1,32, Sales,5
 <=50K,42,2,40, Sales,5
 <=50K,20,2,30, Sales,3
 <=50K,39,1,26, Sales,5
 >50K,55,2,40, Sales,19
 <=50K,32,2,40, Sales,8
 >50K,28,2,40, Tech-support,11
 <=50K,33,1,26, Sales,3
 <=50K,20,1,30, Sales,5
 >50K,63,3,18, Tech-support,21
 <=50K,39,2,50, Tech-support,3
 <=50K,44,2,35, Sales,3
 >50K,32,2,60, Sales,14
 <=50K,26,2,40, Sales,7
 <=50K,33,2,40, Sales,8
 >50K,31,1,50, Sales,18
 <=50K,50,2,40, Sales,5
 <=50K,20,1,20, Sales,6
 <=50K,29,2,45, Sales,6
 >50K,36,1,45, Sales,25
 <=50K,41,2,56, Sales,4
 >50K,48,3,60, Sales,11
 <=50K,50,2,45, Sales,8
 >50K,57,2,50, Sales,17
 <=50K,26,1,40, Sales,6
 >50K,45,2,45, Tech-support,10
 <=50K,20,3,40, Sales,5
 >50K,36,3,45, Sales,20
 >50K,29,3,50, Sales,21
 <=50K,27,1,20, Tech-support,4
 >50K,55,1,20, Tech-support,7
 >50K,38,3,50, Sales,18
 >50K,46,3,72, Sales,12
 <=50K,49,1,30, Sales,7
 <=50K,45,3,52, Sales,4
 <=50K,52,2,40, Tech-support,5
 <=50K,35,1,70, Sales,5
 >50K,25,2,45, Sales,17
 <=50K,23,1,28, Sales,7
 <=50K,27,3,30, Tech-support,7
 >50K,38,1,60, Sales,24
 <=50K,24,3,40, Tech-support,5
 <=50K,59,3,72, Sales,7
 >50K,44,1,20, Tech-support,22
 <=50K,20,2,30, Sales,8
 <=50K,28,2,35, Tech-support,8
 <=50K,25,3,55, Sales,7
 <=50K,29,3,54, Sales,5
 <=50K,38,1,40, Sales,3
 >50K,28,3,60, Sales,20
 <=50K,32,1,45, Tech-support,3
 <=50K,43,2,72, Tech-support,3
 <=50K,25,2,40, Tech-support,6
 >50K,45,2,45, Sales,25
 <=50K,29,1,40, Sales,5
 <=50K,36,1,50, Sales,7
 >50K,40,3,60, Sales,10
 >50K,46,2,40, Tech-support,18
 <=50K,70,1,40, Sales,4
 <=50K,23,2,45, Sales,7
 >50K,84,1,35, Sales,15
 >50K,27,1,40, Tech-support,17
 <=50K,29,3,40, Tech-support,5
 <=50K,19,1,9, Sales,3
 >50K,45,1,50, Sales,11
 >50K,52,3,52, Sales,21
 >50K,28,2,40, Tech-support,22
 <=50K,20,3,25, Sales,7
 >50K,53,1,50, Sales,15
 >50K,41,1,50, Sales,9
 <=50K,32,2,47, Sales,3
 <=50K,46,2,40, Sales,7
 <=50K,38,2,40, Sales,8
 <=50K,19,1,15, Sales,4
 <=50K,29,3,55, Tech-support,8
 <=50K,39,2,45, Sales,7
 <=50K,34,1,60, Sales,8
 <=50K,28,1,40, Sales,6
 <=50K,23,1,20, Tech-support,7
 <=50K,39,1,60, Sales,7
 <=50K,25,1,40, Sales,5
 >50K,29,2,50, Sales,21
 <=50K,36,1,48, Sales,8
 <=50K,20,1,10, Tech-support,3
 <=50K,35,3,45, Sales,5
 <=50K,23,2,40, Sales,7
 <=50K,18,3,35, Sales,4
 <=50K,25,3,40, Sales,6
 <=50K,48,2,60, Sales,4
 <=50K,38,3,50, Sales,6
 >50K,61,1,36, Sales,25
 >50K,37,2,40, Sales,23
 <=50K,25,3,43, Tech-support,4
 <=50K,25,2,40, Tech-support,3
 <=50K,27,1,2, Sales,3
 <=50K,36,2,40, Sales,7
 >50K,30,2,45, Sales,17
 <=50K,30,2,40, Sales,8
 >50K,52,2,40, Tech-support,14
 <=50K,30,1,30, Sales,7
 >50K,47,1,40, Tech-support,14
 >50K,44,1,45, Sales,19
 >50K,58,2,20, Sales,18
 <=50K,43,3,30, Tech-support,7
 >50K,47,1,50, Sales,7
 <=50K,39,2,38, Sales,4
 <=50K,43,2,60, Sales,3
 <=50K,25,3,40, Sales,3
 <=50K,35,3,48, Sales,6
 >50K,39,1,30, Sales,15
 <=50K,54,1,38, Sales,8
 <=50K,39,2,40, Sales,4
 <=50K,21,3,40, Sales,4
 <=50K,45,3,55, Sales,6
 <=50K,61,2,50, Sales,5
 <=50K,26,3,40, Sales,3
 <=50K,39,1,55, Sales,8
 <=50K,27,1,40, Tech-support,3
 >50K,44,3,55, Sales,15
 <=50K,40,2,40, Sales,5
 <=50K,24,1,40, Tech-support,8
 >50K,41,2,50, Sales,12
 <=50K,45,3,40, Tech-support,8
 >50K,32,3,40, Tech-support,20
 <=50K,19,2,25, Sales,6
 <=50K,41,3,70, Sales,4
 <=50K,50,1,40, Sales,7
 <=50K,24,1,40, Sales,4
 >50K,29,1,40, Tech-support,8
 <=50K,31,3,45, Sales,3
 >50K,35,3,50, Sales,25
 <=50K,42,2,43, Sales,5
 <=50K,32,3,65, Sales,6
 <=50K,33,1,45, Sales,7
 >50K,44,2,44, Tech-support,14
 <=50K,24,1,40, Sales,6
 <=50K,47,3,80, Sales,7
 <=50K,36,2,45, Sales,8
 <=50K,29,3,60, Tech-support,7
 <=50K,20,1,20, Sales,8
 <=50K,22,1,30, Sales,6
 <=50K,23,3,25, Sales,6
 <=50K,43,2,55, Sales,7
 >50K,48,2,40, Sales,17
 <=50K,28,1,40, Sales,3
 <=50K,41,2,51, Sales,5
 <=50K,67,2,40, Sales,8
 <=50K,20,2,35, Sales,4
 <=50K,18,3,21, Sales,5
 >50K,39,3,50, Sales,10
 <=50K,30,3,48, Sales,8
 <=50K,22,1,40, Sales,7
 <=50K,44,3,60, Sales,6
 <=50K,24,1,30, Sales,8
 <=50K,28,2,40, Sales,5
 >50K,33,1,55, Sales,18
 >50K,50,1,40, Sales,24
 >50K,40,2,40, Tech-support,23
 >50K,48,3,38, Sales,22
 <=50K,36,2,20, Sales,7
 <=50K,19,1,15, Sales,4
 <=50K,54,1,41, Sales,8
 <=50K,26,3,40, Sales,6
 <=50K,18,1,35, Sales,6
 >50K,37,2,40, Tech-support,22
 >50K,56,3,40, Sales,14
 <=50K,25,2,43, Sales,7
 >50K,41,3,45, Tech-support,8
 >50K,50,3,40, Sales,9
 <=50K,27,1,50, Tech-support,7
 <=50K,19,1,40, Sales,3
 <=50K,58,2,40, Sales,4
 <=50K,36,1,40, Tech-support,8
 <=50K,27,1,40, Sales,6
 <=50K,32,1,60, Sales,3
 <=50K,35,1,50, Sales,3
 <=50K,25,1,50, Sales,5
 <=50K,50,2,40, Sales,3
 >50K,51,3,40, Sales,19
 <=50K,23,3,40, Sales,6
 <=50K,34,2,45, Sales,3
 <=50K,32,3,40, Sales,3
 >50K,54,3,40, Sales,14
 <=50K,37,3,40, Tech-support,6
 <=50K,21,1,20, Sales,5
 >50K,40,2,40, Sales,11
 >50K,38,3,70, Sales,13
 <=50K,58,3,40, Sales,5
 <=50K,38,2,60, Sales,4
 >50K,32,1,40, Sales,11
 <=50K,27,3,45, Sales,4
 <=50K,26,1,40, Sales,3
 >50K,46,1,40, Sales,20
 >50K,60,1,40, Sales,23
 <=50K,23,1,25, Sales,6
 <=50K,27,1,40, Sales,7
 <=50K,35,3,30, Sales,8
 >50K,41,3,35, Sales,7
 <=50K,20,1,40, Tech-support,4
 <=50K,32,3,45, Sales,5
 >50K,54,2,70, Sales,25
 >50K,61,2,50, Sales,8
 <=50K,31,1,40, Sales,8
 <=50K,29,3,40, Sales,8
 <=50K,22,2,20, Sales,5
 <=50K,35,3,50, Sales,5
 <=50K,19,3,20, Sales,7
 <=50K,58,1,50, Sales,4
 >50K,50,1,60, Sales,12
 >50K,47,3,60, Sales,25
 >50K,30,3,40, Sales,22
 <=50K,20,2,24, Tech-support,8
 <=50K,31,1,40, Sales,6
 <=50K,20,3,20, Sales,5
 <=50K,57,1,40, Sales,4
 >50K,55,1,55, Tech-support,24
 <=50K,22,1,40, Sales,5
 >50K,34,1,60, Sales,8
 <=50K,43,1,50, Tech-support,4
 <=50K,30,3,65, Sales,6
 <=50K,44,3,48, Sales,7
 <=50K,34,2,35, Sales,5
 >50K,47,2,40, Sales,10
 >50K,46,1,65, Sales,15
 >50K,50,2,40, Sales,23
 >50K,37,3,40, Sales,12
 <=50K,21,1,20, Sales,4
 <=50K,23,2,40, Sales,5
 <=50K,65,1,15, Sales,4
 <=50K,36,3,40, Sales,8
 <=50K,38,3,45, Sales,6
 >50K,44,2,40, Sales,24
 >50K,41,3,12, Sales,13
 <=50K,23,2,40, Sales,5
 >50K,36,1,35, Sales,17
 <=50K,23,3,55, Sales,7
 >50K,50,3,60, Sales,25
 <=50K,56,1,40, Sales,3
 <=50K,28,1,45, Sales,7
 <=50K,25,3,20, Sales,6
 >50K,66,3,24, Sales,10
 >50K,52,2,45, Sales,25
 <=50K,31,2,40, Tech-support,3
 <=50K,38,2,40, Sales,5
 >50K,49,3,40, Sales,20
 <=50K,40,1,60, Sales,4
 <=50K,25,3,65, Sales,4
 <=50K,36,3,40, Tech-support,5
 <=50K,60,1,48, Sales,6
 <=50K,22,2,40, Tech-support,3
 <=50K,30,1,40, Sales,4
 <=50K,21,1,43, Sales,7
 >50K,37,3,50, Sales,25
 >50K,66,3,40, Sales,25
 >50K,58,3,40, Tech-support,14
 >50K,54,1,25, Tech-support,21
 <=50K,19,2,40, Sales,5
 >50K,31,3,45, Sales,8
 <=50K,47,1,60, Sales,4
 <=50K,27,1,40, Tech-support,3
 <=50K,36,3,20, Sales,5
 <=50K,53,3,40, Tech-support,5
 <=50K,64,3,45, Sales,8
 <=50K,23,3,45, Sales,6
 <=50K,38,2,50, Sales,8
 <=50K,19,3,20, Sales,4
 >50K,49,1,70, Sales,16
 <=50K,50,3,50, Sales,6
 >50K,41,1,42, Tech-support,22
 <=50K,27,3,36, Tech-support,3
 <=50K,34,1,40, Tech-support,8
 <=50K,21,3,10, Sales,6
 <=50K,24,3,40, Sales,7
 <=50K,24,2,40, Sales,8
 <=50K,52,2,40, Sales,3
 >50K,59,3,60, Sales,21
 >50K,44,1,40, Sales,22
 <=50K,35,1,40, Sales,5
 <=50K,56,1,50, Sales,6
 >50K,59,1,55, Sales,19
 <=50K,22,2,20, Sales,7
 <=50K,26,3,20, Sales,5
 >50K,38,1,45, Tech-support,25
 <=50K,33,3,40, Tech-support,7
 <=50K,36,3,40, Tech-support,6
 <=50K,44,1,24, Sales,8
 <=50K,23,3,42, Tech-support,6
 <=50K,23,2,40, Sales,7
 <=50K,27,2,40, Sales,6
 <=50K,39,3,40, Tech-support,8
 <=50K,23,2,12, Sales,7
 <=50K,21,2,50, Tech-support,7
 <=50K,54,1,48, Tech-support,8
 <=50K,20,3,28, Sales,3
 >50K,38,2,40, Tech-support,12
 >50K,37,1,44, Sales,9
 >50K,38,3,40, Sales,12
 <=50K,36,1,20, Tech-support,3
 <=50K,29,2,60, Sales,6
 <=50K,34,1,40, Sales,8
 <=50K,19,1,20, Sales,8
 <=50K,35,2,50, Sales,5
 <=50K,32,2,44, Sales,4
 >50K,36,2,45, Sales,11
 <=50K,26,1,40, Tech-support,6
 >50K,48,2,40, Tech-support,18
 >50K,52,3,40, Sales,13
 <=50K,25,2,44, Sales,4
 <=50K,20,3,40, Sales,4
 <=50K,35,3,40, Sales,7
 <=50K,47,1,60, Tech-support,4
 <=50K,62,2,35, Sales,5
 <=50K,31,3,40, Tech-support,8
 >50K,62,2,60, Sales,17
 >50K,38,3,50, Sales,8
 <=50K,19,2,14, Tech-support,4
 >50K,62,2,40, Sales,22
 >50K,44,2,45, Sales,10
 >50K,35,3,40, Sales,19
 <=50K,53,2,40, Tech-support,5
 >50K,34,1,40, Sales,25
 <=50K,40,2,40, Sales,5
 <=50K,25,1,35, Sales,4
 <=50K,62,1,24, Tech-support,8
 <=50K,26,1,45, Sales,8
 <=50K,40,2,40, Sales,7
 <=50K,22,3,20, Sales,3
 >50K,49,2,40, Sales,22
 >50K,25,1,40, Tech-support,21
 <=50K,23,1,20, Sales,7
 <=50K,23,2,40, Sales,4
 <=50K,42,3,40, Sales,6
 >50K,31,2,76, Sales,15
 <=50K,46,1,38, Tech-support,8
 >50K,35,2,40, Sales,18
 >50K,57,3,60, Tech-support,22
 <=50K,24,3,24, Sales,3
 >50K,47,3,60, Sales,12
 >50K,27,2,80, Sales,8
 >50K,47,2,40, Tech-support,14
 <=50K,24,2,40, Sales,3
 >50K,43,2,55, Sales,25
 <=50K,26,1,40, Sales,5
 >50K,50,2,40, Sales,18
 <=50K,22,2,40, Sales,4
 >50K,45,1,40, Sales,22
 >50K,53,2,60, Sales,24
 <=50K,40,1,40, Sales,6
 >50K,51,1,40, Tech-support,19
 <=50K,34,1,40, Tech-support,3
 <=50K,40,2,80, Sales,3
 >50K,59,3,40, Tech-support,20
 >50K,48,2,40, Sales,20
 >50K,28,1,45, Sales,16
 <=50K,29,3,41, Sales,3
 <=50K,27,2,40, Tech-support,7
 <=50K,22,2,40, Sales,3
 >50K,39,1,40, Sales,21
 <=50K,46,2,40, Sales,8
 <=50K,29,1,50, Sales,4
 >50K,31,3,40, Sales,12
 <=50K,24,2,47, Sales,4
 >50K,35,1,50, Sales,11
 <=50K,49,1,35, Sales,8
 <=50K,23,3,40, Sales,4
 >50K,32,2,40, Sales,16
 <=50K,60,3,55, Sales,5
 >50K,34,3,60, Sales,12
 <=50K,23,2,40, Tech-support,5
 >50K,35,1,40, Sales,22
 >50K,42,1,50, Tech-support,11
 <=50K,23,3,25, Sales,5
 >50K,38,3,40, Sales,21
 <=50K,18,3,30, Sales,5
 <=50K,20,2,8, Sales,3
 >50K,46,3,45, Sales,22
 <=50K,57,1,40, Sales,4
 >50K,53,3,50, Sales,8
 >50K,59,2,55, Sales,10
 <=50K,25,1,45, Tech-support,4
 <=50K,42,3,40, Sales,8
 >50K,39,1,50, Sales,11
